User_ID,First_Name,Last_Name,Name,Paid_User,Churn
1,Henri,Petit,Henri Petit,0,1
2,Noah,Davies,Noah Davies,0,0
3,Oliver,Brown,Oliver Brown,0,0
4,Oscar,Brown,Oscar Brown,1,0
5,Muhammad,Smith,Muhammad Smith,0,0
6,Hans,Meyer,Hans Meyer,0,0
7,Klaus,Hoffmann,Klaus Hoffmann,1,0
8,Joseph,Williams,Joseph Williams,1,0
9,Oliver,Evans,Oliver Evans,0,0
10,Jean,Thomas,Jean Thomas,1,0
11,Philippe,Martin,Philippe Martin,0,0
12,Alain,Leroy,Alain Leroy,1,0
13,Robert,Smith,Robert Smith,0,0
14,James,Taylor,James Taylor,1,1
15,Luc,Moreau,Luc Moreau,1,1
16,Jacques,Moreau,Jacques Moreau,1,0
17,Fritz,Schneider,Fritz Schneider,1,0
18,Jacques,Martin,Jacques Martin,1,0
19,William,Brown,William Brown,0,0
20,Uwe,Meyer,Uwe Meyer,0,0
21,Uwe,Schulz,Uwe Schulz,1,0
22,Jack,Smith,Jack Smith,0,0
23,Muhammad,Davies,Muhammad Davies,0,0
24,Robert,Taylor,Robert Taylor,1,1
25,William,Johnson,William Johnson,1,0
26,Jurgen,Schneider,Jurgen Schneider,1,1
27,Werner,Weber,Werner Weber,1,0
28,Oliver,Wilson,Oliver Wilson,1,0
29,Henri,Durand,Henri Durand,1,0
30,Oliver,Roberts,Oliver Roberts,0,0
31,Joseph,Williams,Joseph Williams,0,0
32,George,Wilson,George Wilson,0,0
33,Jack,Smith,Jack Smith,1,1
34,Wolfgang,Schneider,Wolfgang Schneider,1,1
35,Andre,Moreau,Andre Moreau,1,0
36,Andre,Robert,Andre Robert,0,0
37,Oscar,Jones,Oscar Jones,1,0
38,Andre,Moreau,Andre Moreau,0,0
39,Charles,Miller,Charles Miller,0,0
40,Charles,Johnson,Charles Johnson,0,0
41,Hans,Becker,Hans Becker,0,0
42,Gunter,Schulz,Gunter Schulz,1,0
43,Luc,Leroy,Luc Leroy,0,0
44,Michel,Leroy,Michel Leroy,0,0
45,Michel,Martin,Michel Martin,1,0
46,Robert,Davis,Robert Davis,1,0
47,Heinz,Meyer,Heinz Meyer,0,0
48,Oscar,Williams,Oscar Williams,0,0
49,Werner,Becker,Werner Becker,0,0
50,Fritz,Fischer,Fritz Fischer,0,0
51,Oscar,Evans,Oscar Evans,0,0
52,Oliver,Roberts,Oliver Roberts,0,0
53,Michael,Brown,Michael Brown,1,0
54,Robert,Johnson,Robert Johnson,0,0
55,George,Brown,George Brown,1,0
56,Wolfgang,Fischer,Wolfgang Fischer,0,0
57,Luc,Martin,Luc Martin,1,1
58,Thomas,Jones,Thomas Jones,0,1
59,Klaus,Weber,Klaus Weber,1,0
60,Michel,Robert,Michel Robert,1,0
61,Richard,Brown,Richard Brown,0,0
62,Pierre,Petit,Pierre Petit,0,0
63,John,Davis,John Davis,0,0
64,Jacob,Smith,Jacob Smith,1,0
65,Wolfgang,Schneider,Wolfgang Schneider,0,0
66,Philippe,Robert,Philippe Robert,0,0
67,Gunter,Hoffmann,Gunter Hoffmann,0,0
68,Peter,Schmidt,Peter Schmidt,0,0
69,Jurgen,Weber,Jurgen Weber,0,0
70,Michel,Thomas,Michel Thomas,1,0
71,Jacob,Thomas,Jacob Thomas,0,0
72,Muhammad,Smith,Muhammad Smith,1,0
73,George,Thomas,George Thomas,0,0
74,Jacques,Bernard,Jacques Bernard,0,0
75,Jurgen,Hoffmann,Jurgen Hoffmann,1,0
76,Luc,Martin,Luc Martin,1,0
77,Jean,Bernard,Jean Bernard,1,1
78,Thomas,Roberts,Thomas Roberts,0,0
79,Joseph,Wilson,Joseph Wilson,0,0
80,Fritz,Muller,Fritz Muller,0,0
81,Joseph,Wilson,Joseph Wilson,0,0
82,Fritz,Muller,Fritz Muller,1,1
83,Harry,Williams,Harry Williams,0,1
84,John,Miller,John Miller,0,1
85,William,Taylor,William Taylor,1,1
86,James,Williams,James Williams,1,0
87,Jean,Bernard,Jean Bernard,1,0
88,Pierre,Thomas,Pierre Thomas,0,0
89,Alain,Durand,Alain Durand,1,0
90,Peter,Meyer,Peter Meyer,0,1
91,Heinz,Muller,Heinz Muller,0,1
92,Oliver,Evans,Oliver Evans,1,0
93,Robert,Smith,Robert Smith,1,0
94,Thomas,Taylor,Thomas Taylor,0,1
95,David,Taylor,David Taylor,0,0
96,Joseph,Taylor,Joseph Taylor,1,0
97,Philippe,Martin,Philippe Martin,1,1
98,Jack,Thomas,Jack Thomas,0,0
99,George,Roberts,George Roberts,0,0
100,Alain,Robert,Alain Robert,0,0
101,Werner,Wagner,Werner Wagner,1,0
102,Heinz,Hoffmann,Heinz Hoffmann,1,0
103,Jacques,Bernard,Jacques Bernard,1,0
104,Jurgen,Schmidt,Jurgen Schmidt,1,0
105,Philippe,Richard,Philippe Richard,1,0
106,Fritz,Fischer,Fritz Fischer,1,0
107,Thomas,Davies,Thomas Davies,0,0
108,Peter,Weber,Peter Weber,0,0
109,Jacob,Davies,Jacob Davies,1,0
110,Thomas,Taylor,Thomas Taylor,1,0
111,Andre,Martin,Andre Martin,0,0
112,David,Smith,David Smith,1,0
113,Joseph,Johnson,Joseph Johnson,0,0
114,Jean,Dubois,Jean Dubois,0,0
115,James,Smith,James Smith,0,1
116,Noah,Brown,Noah Brown,1,0
117,William,Williams,William Williams,1,0
118,Jacques,Leroy,Jacques Leroy,1,0
119,Oliver,Jones,Oliver Jones,0,0
120,Heinz,Weber,Heinz Weber,1,1
121,Harry,Smith,Harry Smith,1,0
122,Oliver,Jones,Oliver Jones,1,0
123,Jacob,Thomas,Jacob Thomas,0,0
124,Jurgen,Muller,Jurgen Muller,0,0
125,Heinz,Muller,Heinz Muller,1,0
126,Thomas,Taylor,Thomas Taylor,1,0
127,Alain,Martin,Alain Martin,0,0
128,Peter,Schmidt,Peter Schmidt,0,0
129,Peter,Schmidt,Peter Schmidt,0,0
130,Jacques,Richard,Jacques Richard,0,0
131,Richard,Taylor,Richard Taylor,1,0
132,Muhammad,Brown,Muhammad Brown,1,0
133,Philippe,Leroy,Philippe Leroy,0,0
134,Oscar,Wilson,Oscar Wilson,1,0
135,Noah,Evans,Noah Evans,0,0
136,David,Williams,David Williams,1,0
137,James,Jones,James Jones,1,0
138,Robert,Miller,Robert Miller,0,0
139,William,Brown,William Brown,0,0
140,William,Williams,William Williams,0,1
141,Francois,Moreau,Francois Moreau,0,0
142,David,Williams,David Williams,0,0
143,Michel,Robert,Michel Robert,0,0
144,Charlie,Brown,Charlie Brown,1,0
145,George,Davies,George Davies,1,0
146,Michel,Robert,Michel Robert,0,0
147,William,Williams,William Williams,0,0
148,Klaus,Schulz,Klaus Schulz,1,1
149,Philippe,Robert,Philippe Robert,0,0
150,Harry,Davies,Harry Davies,0,0
151,Heinz,Becker,Heinz Becker,0,0
152,Noah,Evans,Noah Evans,0,0
153,Jurgen,Schmidt,Jurgen Schmidt,0,0
154,Joseph,Taylor,Joseph Taylor,0,0
155,Jean,Moreau,Jean Moreau,0,0
156,Charlie,Roberts,Charlie Roberts,0,0
157,Charles,Johnson,Charles Johnson,0,0
158,John,Brown,John Brown,0,0
159,James,Taylor,James Taylor,0,0
160,James,Miller,James Miller,1,0
161,Fritz,Weber,Fritz Weber,1,0
162,Klaus,Fischer,Klaus Fischer,1,0
163,Wolfgang,Schneider,Wolfgang Schneider,0,0
164,Oscar,Wilson,Oscar Wilson,0,0
165,Henri,Moreau,Henri Moreau,1,0
166,Henri,Robert,Henri Robert,0,0
167,Michael,Jones,Michael Jones,1,0
168,Charles,Taylor,Charles Taylor,1,0
169,James,Williams,James Williams,0,0
170,Jack,Jones,Jack Jones,0,0
171,Oscar,Smith,Oscar Smith,0,0
172,Uwe,Hoffmann,Uwe Hoffmann,0,0
173,George,Brown,George Brown,0,0
174,Michel,Leroy,Michel Leroy,0,0
175,Heinz,Schulz,Heinz Schulz,0,0
176,Fritz,Weber,Fritz Weber,1,0
177,Richard,Smith,Richard Smith,1,0
178,Francois,Martin,Francois Martin,0,0
179,Pierre,Thomas,Pierre Thomas,0,0
180,Wolfgang,Schneider,Wolfgang Schneider,1,0
181,Alain,Durand,Alain Durand,1,0
182,Muhammad,Roberts,Muhammad Roberts,1,0
183,Charlie,Brown,Charlie Brown,1,0
184,Uwe,Schulz,Uwe Schulz,0,0
185,Robert,Taylor,Robert Taylor,0,0
186,James,Moore,James Moore,1,0
187,John,Davis,John Davis,0,0
188,Pierre,Martin,Pierre Martin,0,0
189,Uwe,Becker,Uwe Becker,1,0
190,David,Smith,David Smith,0,0
191,Fritz,Schneider,Fritz Schneider,0,0
192,Jurgen,Schulz,Jurgen Schulz,0,0
193,Thomas,Jones,Thomas Jones,0,0
194,Jean,Moreau,Jean Moreau,1,1
195,Oliver,Thomas,Oliver Thomas,0,0
196,Muhammad,Jones,Muhammad Jones,0,1
197,Klaus,Schmidt,Klaus Schmidt,0,0
198,Charlie,Williams,Charlie Williams,0,0
199,Michel,Petit,Michel Petit,0,0
200,George,Jones,George Jones,1,0
201,Oscar,Jones,Oscar Jones,1,0
202,Heinz,Schmidt,Heinz Schmidt,0,0
203,Muhammad,Thomas,Muhammad Thomas,1,1
204,Philippe,Moreau,Philippe Moreau,0,0
205,Michael,Brown,Michael Brown,0,0
206,Francois,Thomas,Francois Thomas,0,0
207,Noah,Davies,Noah Davies,1,1
208,Fritz,Schulz,Fritz Schulz,1,0
209,Richard,Moore,Richard Moore,1,0
210,Uwe,Becker,Uwe Becker,0,0
211,Robert,Wilson,Robert Wilson,0,0
212,Klaus,Schneider,Klaus Schneider,0,0
213,Luc,Robert,Luc Robert,1,0
214,David,Moore,David Moore,0,0
215,Thomas,Davies,Thomas Davies,1,0
216,Gunter,Becker,Gunter Becker,0,0
217,Thomas,Davies,Thomas Davies,0,0
218,Jean,Petit,Jean Petit,0,0
219,Jean,Richard,Jean Richard,0,0
